new,original,name2,count
Coffee Shop/Café,Coffee Shop,Food,410
Pub,Pub,Nightlife Spot,323
Coffee Shop/Café,Café,Food,258
Accomodation,Hotel,Travel & Transport,235
Italian Restaurant,Italian Restaurant,Food,171
Grocery Store,Grocery Store,Shop & Service,144
Gym,Gym / Fitness Center,Outdoors & Recreation,135
Food,Sandwich Place,Food,135
Food,Bakery,Food,127
Italian Restaurant,Pizza Place,Food,116
Restaurant,Burger Joint,Food,109
Indian Restaurant,Indian Restaurant,Food,100
Bar,Bar,Nightlife Spot,93
Restaurant,Restaurant,Food,85
Bar,Cocktail Bar,Nightlife Spot,83
Outdoors & Recreation,Park,Outdoors & Recreation,76
Shop & Service,Clothing Store,Shop & Service,70
Restaurant,French Restaurant,Food,66
Food,Fast Food Restaurant,Food,61
Asian Restaurant,Thai Restaurant,Food,59
Asian Restaurant,Chinese Restaurant,Food,58
Asian Restaurant,Japanese Restaurant,Food,57
Asian Restaurant,Sushi Restaurant,Food,56
Shop & Service,Pharmacy,Shop & Service,54
Arts,Theater,Arts & Entertainment,52
Travel & Transport,Train Station,Travel & Transport,50
Outdoors & Recreation,Plaza,Outdoors & Recreation,49
Restaurant,Turkish Restaurant,Food,47
Restaurant,Breakfast Spot,Food,45
Travel & Transport,Bus Stop,Travel & Transport,40
Food,Deli / Bodega,Food,40
Outdoors & Recreation,Garden,Outdoors & Recreation,40
Grocery Store,Supermarket,Shop & Service,40
Restaurant,Middle Eastern Restaurant,Food,39
Asian Restaurant,Vietnamese Restaurant,Food,39
Restaurant,English Restaurant,Food,38
Bar,Wine Bar,Nightlife Spot,37
Food,Ice Cream Shop,Food,36
Shop & Service,Bookstore,Shop & Service,35
Bar,Beer Bar,Nightlife Spot,34
Asian Restaurant,Asian Restaurant,Food,33
Travel & Transport,Platform,Travel & Transport,33
Arts,Art Gallery,Arts & Entertainment,32
Restaurant,Gastropub,Food,31
Food,Juice Bar,Food,31
Bar,Hotel Bar,Nightlife Spot,30
Restaurant,Portuguese Restaurant,Food,28
Restaurant,Steakhouse,Food,28
Shop & Service,Convenience Store,Shop & Service,27
Gym,Gym,Outdoors & Recreation,27
Restaurant,Greek Restaurant,Food,26
Shop & Service,Boutique,Shop & Service,25
Travel & Transport,Metro Station,Travel & Transport,25
Restaurant,Mexican Restaurant,Food,24
Restaurant,Modern European Restaurant,Food,23
Restaurant,Tapas Restaurant,Food,23
Shop & Service,Cosmetics Shop,Shop & Service,22
Food,Dessert Shop,Food,22
Shop & Service,Market,Shop & Service,22
Restaurant,Seafood Restaurant,Food,22
Bar,Brewery,Nightlife Spot,21
Shop & Service,Chocolate Shop,Shop & Service,21
Bar,Lounge,Nightlife Spot,21
Restaurant,Mediterranean Restaurant,Food,21
Arts,Museum,Arts & Entertainment,21
Food,Food Truck,Food,20
Bar,Nightclub,Nightlife Spot,20
Gym,Yoga Studio,Outdoors & Recreation,20
Shop & Service,Gift Shop,Shop & Service,19
Shop & Service,Furniture / Home Store,Shop & Service,18
Shop & Service,Women's Store,Shop & Service,18
Food,Fish & Chips Shop,Food,17
Food,Food & Drink Shop,Shop & Service,17
Shop & Service,Shopping Mall,Shop & Service,17
Restaurant,Spanish Restaurant,Food,17
Food,Burrito Place,Food,16
Food,Donut Shop,Food,16
Food,Fried Chicken Joint,Food,16
Arts,History Museum,Arts & Entertainment,16
Accomodation,Hostel,Travel & Transport,16
Asian Restaurant,Korean Restaurant,Food,16
Entertainment,Movie Theater,Arts & Entertainment,16
Restaurant,Vegetarian / Vegan Restaurant,Food,16
Restaurant,Falafel Restaurant,Food,15
Arts,Music Venue,Arts & Entertainment,15
Asian Restaurant,Ramen Restaurant,Food,15
Food,Tea Room,Food,15
Restaurant,Bistro,Food,14
Arts,Outdoor Sculpture,Arts & Entertainment,14
Shop & Service,Spa,Shop & Service,14
Shop & Service,Arts & Crafts Store,Shop & Service,13
Restaurant,Caribbean Restaurant,Food,13
Food,Cupcake Shop,Food,13
Shop & Service,Department Store,Shop & Service,13
Shop & Service,Gourmet Shop,Shop & Service,13
Shop & Service,Jewelry Store,Shop & Service,13
Restaurant,Lebanese Restaurant,Food,13
Restaurant,Stationery Store,Shop & Service,13
Shop & Service,Wine Shop,Shop & Service,13
Professional & Other Places,Event Space,Professional & Other Places,12
Shop & Service,Farmers Market,Shop & Service,12
Restaurant,Malay Restaurant,Food,12
Restaurant,American Restaurant,Food,11
Bar,Gay Bar,Nightlife Spot,11
Arts,Historic Site,Arts & Entertainment,11
Food,Salad Place,Food,11
Shop & Service,Sporting Goods Shop,Shop & Service,11
Food,Bagel Shop,Food,10
Bar,Speakeasy,Nightlife Spot,10
Restaurant,Argentinian Restaurant,Food,9
Restaurant,BBQ Joint,Food,9
Arts,Indie Movie Theater,Arts & Entertainment,9
Entertainment,Jazz Club,Arts & Entertainment,9
Restaurant,Persian Restaurant,Food,9
Shop & Service,Record Shop,Shop & Service,9
Outdoors & Recreation,Roof Deck,Outdoors & Recreation,9
Shop & Service,Shoe Store,Shop & Service,9
Shop & Service,Street Food Gathering,Shop & Service,9
Restaurant,African Restaurant,Food,8
Restaurant,Cantonese Restaurant,Food,8
Food,Creperie,Food,8
Restaurant,Dim Sum Restaurant,Food,8
Shop & Service,Electronics Store,Shop & Service,8
Food,Food Court,Food,8
Food,Frozen Yogurt Shop,Food,8
Arts,Performing Arts Venue,Arts & Entertainment,8
Food,Bubble Tea Shop,Food,7
Gym,Cycle Studio,Outdoors & Recreation,7
Restaurant,Diner,Food,7
Entertainment,General Entertainment,Arts & Entertainment,7
Restaurant,Latin American Restaurant,Food,7
Restaurant,New American Restaurant,Food,7
Shop & Service,Organic Grocery,Shop & Service,7
Outdoors & Recreation,Pedestrian Plaza,Outdoors & Recreation,7
Outdoors & Recreation,Scenic Lookout,Outdoors & Recreation,7
Travel & Transport,Boat or Ferry,Travel & Transport,6
Shop & Service,Candy Store,Shop & Service,6
Shop & Service,Cheese Shop,Shop & Service,6
Arts,Concert Hall,Arts & Entertainment,6
Shop & Service,Garden Center,Shop & Service,6
Restaurant,Kebab Restaurant,Food,6
Restaurant,Moroccan Restaurant,Food,6
Indian Restaurant,Pakistani Restaurant,Food,6
Restaurant,Scandinavian Restaurant,Food,6
Professional & Other Places,Social Club,Professional & Other Places,6
Restaurant,South American Restaurant,Food,6
Shop & Service,Toy / Game Store,Shop & Service,6
Arts,Art Museum,Arts & Entertainment,5
Travel & Transport,Bike Rental / Bike Share,Travel & Transport,5
Restaurant,Brazilian Restaurant,Food,5
Bar,Champagne Bar,Nightlife Spot,5
Gym,Dance Studio,Arts & Entertainment,5
Shop & Service,Discount Store,Shop & Service,5
Arts,Exhibit,Arts & Entertainment,5
